,match,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_home,games_against_away,home_player_1_overall_rating,home_player_2_overall_rating,home_player_3_overall_rating,home_player_4_overall_rating,home_player_5_overall_rating,home_player_6_overall_rating,home_player_7_overall_rating,home_player_8_overall_rating,home_player_9_overall_rating,home_player_10_overall_rating,home_player_11_overall_rating,away_player_1_overall_rating,away_player_2_overall_rating,away_player_3_overall_rating,away_player_4_overall_rating,away_player_5_overall_rating,away_player_6_overall_rating,away_player_7_overall_rating,away_player_8_overall_rating,away_player_9_overall_rating,away_player_10_overall_rating,away_player_11_overall_rating,odds_home,odds_draw,odds_away
43,581,2.0,-3.0,5.0,2.0,0.0,1.0,66.0,66.0,65.0,69.0,64.0,67.0,65.0,66.0,68.0,63.0,66.0,63.0,65.0,63.0,64.0,64.0,65.0,65.0,63.0,61.0,66.0,65.0,0.5136546155340189,0.2601516073845169,0.2261937770814643
44,582,0.0,9.0,4.0,5.0,1.0,2.0,65.0,64.0,67.0,62.0,65.0,66.0,66.0,64.0,68.0,68.0,71.0,74.0,73.0,74.0,72.0,71.0,76.0,67.0,71.0,62.0,71.0,73.0,0.19456035570082345,0.2494117466796113,0.5560278976195653
45,583,-3.0,-13.0,4.0,2.0,0.0,1.0,63.0,64.0,64.0,68.0,64.0,66.0,68.0,64.0,66.0,69.0,69.0,67.0,65.0,69.0,64.0,67.0,64.0,68.0,57.0,69.0,65.0,72.0,0.4697906511120126,0.2718429287233069,0.2583664201646804
46,584,11.0,2.0,5.0,3.0,2.0,0.0,74.0,73.0,74.0,72.0,71.0,76.0,67.0,71.0,62.0,77.0,73.0,71.0,70.0,70.0,73.0,66.0,70.0,69.0,70.0,74.0,68.0,74.0,0.563988601722188,0.2446160698508747,0.19139532842693727
47,585,6.0,-1.0,5.0,5.0,2.0,0.0,65.0,72.0,64.0,67.0,68.0,72.0,68.0,71.0,58.0,69.0,74.0,63.0,64.0,66.0,68.0,64.0,64.0,69.0,66.0,64.0,68.0,69.0,0.5580575446094665,0.2458594118561565,0.1960830435343769
48,586,4.0,-2.0,6.0,4.0,1.0,1.0,68.0,67.0,68.0,58.0,61.0,67.0,59.0,66.0,73.0,70.0,70.0,65.0,64.0,67.0,66.0,65.0,66.0,66.0,64.0,68.0,68.0,63.0,0.5139385628168391,0.2652247824833872,0.2208366546997736
49,587,11.0,7.0,5.0,6.0,0.0,2.0,66.0,65.0,70.0,66.0,66.0,65.0,64.0,63.0,68.0,67.0,68.0,66.0,66.0,65.0,69.0,64.0,65.0,66.0,67.0,66.0,68.0,63.0,0.36982032308900176,0.2833876068179504,0.34679207009304786
50,588,4.0,0.0,5.0,5.0,1.0,1.0,72.0,70.0,69.0,70.0,69.0,70.0,68.0,67.0,65.0,68.0,70.0,71.0,70.0,61.0,71.0,73.0,69.0,69.0,69.0,70.0,68.0,67.0,0.3553224561732406,0.2901280742767349,0.3545494695500244
51,589,-6.0,-3.0,2.0,4.0,0.0,0.0,63.0,65.0,63.0,64.0,58.0,65.0,65.0,65.0,63.0,65.0,66.0,56.0,63.0,62.0,67.0,64.0,68.0,66.0,66.0,66.0,67.0,72.0,0.4039487472575376,0.28803106295777525,0.30802018978468715
52,590,-11.0,-9.0,1.0,3.0,0.0,0.0,66.0,61.0,63.0,61.0,63.0,67.0,63.0,66.0,66.0,63.0,66.0,57.0,61.0,62.0,63.0,63.0,64.0,61.0,63.0,64.0,64.0,61.0,0.4329946322418455,0.2827622354538841,0.2842431323042704
53,591,-11.0,-5.0,2.0,3.0,0.0,3.0,67.0,67.0,63.0,69.0,65.0,69.0,64.0,71.0,70.0,72.0,68.0,71.0,68.0,66.0,73.0,71.0,62.0,64.0,73.0,68.0,69.0,72.0,0.2956655191674118,0.2774694623160188,0.42686501851656944
54,592,16.0,6.0,6.0,5.0,2.0,0.0,74.0,73.0,74.0,72.0,71.0,76.0,71.0,62.0,67.0,73.0,77.0,66.0,66.0,65.0,69.0,64.0,65.0,64.0,66.0,66.0,63.0,68.0,0.6752376122949836,0.20311737113314596,0.12164501657187045
